,Customer ID,Country Code,Phone Number,Valid,Contain Hex,Updated Country,From Multiple,Cleansed Country Code,Cleansed Phone Number
0,C09341,SG - Singapore,(65) 64947993,True,False,True,False,SG - Singapore,64947993
1,C28434,SG - Singapore,31365508,True,False,False,False,SG - Singapore,31365508
2,C45299,SG - Singapore,6219 9268,True,False,False,False,SG - Singapore,62199268
3,C20086,SG - Singapore,942615436,False,False,False,False,SG - Singapore,942615436
4,C15612,SG - Singapore,8196-1887,True,False,False,False,SG - Singapore,81961887
5,C22561,,(+65) 31872039,True,False,True,False,SG - Singapore,31872039
6,C42836,SG - Singapore,,False,False,False,False,SG - Singapore,
7,C16280,SG - Singapore,61729679,True,False,False,False,SG - Singapore,61729679
8,C12077,SG - Singapore,99261659,True,False,False,False,SG - Singapore,99261659
9,C28557,SG - Singapore,9745 6222,True,False,False,False,SG - Singapore,97456222
10,C36222,,(65) 84585080,True,False,True,False,SG - Singapore,84585080
11,C22418,SG - Singapore,8845189,False,False,False,False,SG - Singapore,8845189
12,C44891,SG - Singapore,(65) 62703179,True,False,True,False,SG - Singapore,62703179
13,C05181,SG - Singapore,(65) 65695838,True,False,True,False,SG - Singapore,65695838
14,C10588,SG - Singapore,34777192,True,False,False,False,SG - Singapore,34777192
15,C35298,SG - Singapore,6599 1073,True,False,False,False,SG - Singapore,65991073
16,C00818,SG - Singapore,+65 83118933,True,False,True,False,SG - Singapore,83118933
17,C37998,SG - Singapore,+65 67036513,True,False,True,False,SG - Singapore,67036513
18,C10904,SG - Singapore,9196 3452,True,False,False,False,SG - Singapore,91963452
19,C42040,SG - Singapore,3597 4458,True,False,False,False,SG - Singapore,35974458
20,C32076,SG - Singapore,94000237,True,False,False,False,SG - Singapore,94000237
21,C15978,MY - Malaysia,+60-0122811548,False,False,False,False,MY - Malaysia,+600122811548
22,C33909,SG - Singapore,8336361,False,False,False,False,SG - Singapore,8336361
23,C44362,MY - Malaysia,603-38423856,False,False,False,False,MY - Malaysia,60338423856
24,C34731,SG - Singapore,35329629,True,False,False,False,SG - Singapore,35329629
25,C49464,SG - Singapore,(65) 87923675,True,False,True,False,SG - Singapore,87923675
26,C05466,SG - Singapore,(65) 31685267,True,False,True,False,SG - Singapore,31685267
27,C13071,SG - Singapore,69497418,True,False,False,False,SG - Singapore,69497418
28,C34568,SG - Singapore,64057383,True,False,False,False,SG - Singapore,64057383
29,C03615,SG - Singapore,83896611,True,False,False,False,SG - Singapore,83896611
30,C29493,SG - Singapore,3445 5586,True,False,False,False,SG - Singapore,34455586
31,C43189,SG - Singapore,37879670,True,False,False,False,SG - Singapore,37879670
32,C17091,SG - Singapore,(65) 38020185,True,False,True,False,SG - Singapore,38020185
33,C43546,SG - Singapore,3622 3266,True,False,False,False,SG - Singapore,36223266
34,C16331,SG - Singapore,(65) 69114309,True,False,True,False,SG - Singapore,69114309
35,C18297,SG - Singapore,(65) 33390744,True,False,True,False,SG - Singapore,33390744
36,C32045,SG - Singapore,6206 6392,True,False,False,False,SG - Singapore,62066392
37,C15975,SG - Singapore,92966471,True,False,False,False,SG - Singapore,92966471
38,C34963,SG - Singapore,81221075,True,False,False,False,SG - Singapore,81221075
39,C07648,SG - Singapore,(65) 87183722,True,False,True,False,SG - Singapore,87183722
40,C38285,SG - Singapore,88301575,True,False,False,False,SG - Singapore,88301575
41,C99999,PH - Philippines,+63-91777027,False,False,False,False,PH - Philippines,+6391777027
42,C13816,SG - Singapore,(65) 99121192,True,False,True,False,SG - Singapore,99121192
43,C25219,SG - Singapore,9326 1355,True,False,False,False,SG - Singapore,93261355
45,C14832,SG - Singapore,(+65) 36297414,True,False,True,False,SG - Singapore,36297414
46,C25249,SG - Singapore,9256 4460,True,False,False,False,SG - Singapore,92564460
47,C36778,SG - Singapore,6772 4601,True,False,False,False,SG - Singapore,67724601
48,C17240,SG - Singapore,93648232,True,False,False,False,SG - Singapore,93648232
49,C49023,SG - Singapore,97104721,True,False,False,False,SG - Singapore,97104721
50,C06952,SG - Singapore,(65) 68411472,True,False,True,False,SG - Singapore,68411472
51,C48381,SG - Singapore,9443 322,False,False,False,False,SG - Singapore,9443322
52,C35823,SG - Singapore,(65) 61115363,True,False,True,False,SG - Singapore,61115363
53,C49764,SG - Singapore,+65 89533857,True,False,True,False,SG - Singapore,89533857
54,C10289,SG - Singapore,61518880,True,False,False,False,SG - Singapore,61518880
55,C19986,SG - Singapore,(+65) 94807561,True,False,True,False,SG - Singapore,94807561
56,C35926,SG - Singapore,34317460,True,False,False,False,SG - Singapore,34317460
57,C46580,SG - Singapore,(65) 92175822,True,False,True,False,SG - Singapore,92175822
58,C31676,SG - Singapore,68399342,True,False,False,False,SG - Singapore,68399342
59,C22576,SG - Singapore,6266-3258,True,False,False,False,SG - Singapore,62663258
60,C02218,SG - Singapore,6482-7357,True,False,False,False,SG - Singapore,64827357
61,C00769,SG - Singapore,(65) 96954862,True,False,True,False,SG - Singapore,96954862
62,C27435,SG - Singapore,84773638,True,False,False,False,SG - Singapore,84773638
63,C28724,SG - Singapore,+65 68300135,True,False,True,False,SG - Singapore,68300135
64,C31213,,(65) 83669875,True,False,True,False,SG - Singapore,83669875
65,C32739,SG - Singapore,68515495,True,False,False,False,SG - Singapore,68515495
66,C47218,SG - Singapore,(65) 94129047,True,False,True,False,SG - Singapore,94129047
67,C02476,,(65) 98927116,True,False,True,False,SG - Singapore,98927116
68,C37877,SG - Singapore,3509 1496,True,False,False,False,SG - Singapore,35091496
69,C00642,SG - Singapore,(+65) 96543113,True,False,True,False,SG - Singapore,96543113
70,C19216,SG - Singapore,(+65) 93108112,True,False,True,False,SG - Singapore,93108112
71,C02779,SG - Singapore,6155973,False,False,False,False,SG - Singapore,6155973
72,C43963,SG - Singapore,9557 2756,True,False,False,False,SG - Singapore,95572756
73,C35153,SG - Singapore,6287-4541,True,False,False,False,SG - Singapore,62874541
74,C05758,SG - Singapore,39668756,True,False,False,False,SG - Singapore,39668756
75,C16094,SG - Singapore,6130 8272,True,False,False,False,SG - Singapore,61308272
76,C27158,SG - Singapore,(+65) 91222221,True,False,True,False,SG - Singapore,91222221
77,C46378,SG - Singapore,+65 62157386,True,False,True,False,SG - Singapore,62157386
78,C46756,SG - Singapore,9111-2033,True,False,False,False,SG - Singapore,91112033
79,C02160,SG - Singapore,96201372,True,False,False,False,SG - Singapore,96201372
80,C09759,SG - Singapore,(65) 93187956,True,False,True,False,SG - Singapore,93187956
81,C10117,SG - Singapore,+65 95540896,True,False,True,False,SG - Singapore,95540896
82,C44116,SG - Singapore,9289 4868,True,False,False,False,SG - Singapore,92894868
83,C43345,SG - Singapore,0x1DB562C,True,True,False,False,SG - Singapore,31151660
84,C10995,SG - Singapore,+65 65200674,True,False,True,False,SG - Singapore,65200674
85,C30519,SG - Singapore,(+65) 65093763,True,False,True,False,SG - Singapore,65093763
86,C25807,SG - Singapore,38988568,True,False,False,False,SG - Singapore,38988568
87,C22362,SG - Singapore,+65 89291625,True,False,True,False,SG - Singapore,89291625
88,C13095,SG - Singapore,+65 96021253,True,False,True,False,SG - Singapore,96021253
89,C31320,SG - Singapore,69925081,True,False,False,False,SG - Singapore,69925081
90,C06666,SG - Singapore,(+65) 33454133,True,False,True,False,SG - Singapore,33454133
91,C21519,SG - Singapore,6981 771,False,False,False,False,SG - Singapore,6981771
92,C40678,SG - Singapore,+65 39700236,True,False,True,False,SG - Singapore,39700236
93,C00145,SG - Singapore,(65) 84543599,True,False,True,False,SG - Singapore,84543599
94,C28996,SG - Singapore,99536888,True,False,False,False,SG - Singapore,99536888
95,C37722,SG - Singapore,6983987,False,False,False,False,SG - Singapore,6983987
96,C26697,SG - Singapore,(+65) 31434379,True,False,True,False,SG - Singapore,31434379
