ID,Customer ID,Country Code,Phone Number
1,C09341,SG - Singapore,(65) 64947993
2,C28434,SG - Singapore,31365508
3,C45299,SG - Singapore,6219 9268
4,C20086,SG - Singapore,942615436
5,C15612,SG - Singapore,8196-1887
6,C22561,,(+65) 31872039
7,C42836,SG - Singapore,
8,C16280,SG - Singapore,61729679
9,C12077,SG - Singapore,99261659
10,C28557,SG - Singapore,9745 6222
11,C36222,,(65) 84585080
12,C22418,SG - Singapore,8845189
13,C44891,SG - Singapore,(65) 62703179
14,C05181,SG - Singapore,(65) 65695838
15,C10588,SG - Singapore,34777192
16,C35298,SG - Singapore,6599 1073
17,C00818,SG - Singapore,+65 83118933
18,C37998,SG - Singapore,+65 67036513
19,C10904,SG - Singapore,9196 3452
20,C42040,SG - Singapore,3597 4458
21,C32076,SG - Singapore,94000237
22,C15978,MY - Malaysia,+60-0122811548
23,C33909,SG - Singapore,8336361
24,C44362,MY - Malaysia,603-38423856
25,C34731,SG - Singapore,35329629
26,C49464,SG - Singapore,(65) 87923675
27,C05466,SG - Singapore,(65) 31685267
28,C13071,SG - Singapore,69497418
29,C34568,SG - Singapore,64057383
30,C03615,SG - Singapore,83896611
31,C29493,SG - Singapore,3445 5586
32,C43189,SG - Singapore,37879670
33,C17091,SG - Singapore,(65) 38020185
34,C43546,SG - Singapore,3622 3266
35,C16331,SG - Singapore,(65) 69114309
36,C18297,SG - Singapore,(65) 33390744
37,C32045,SG - Singapore,6206 6392
38,C15975,SG - Singapore,92966471
39,C34963,SG - Singapore,81221075
40,C07648,SG - Singapore,(65) 87183722
41,C38285,SG - Singapore,88301575
42,C99999,PH - Philippines,+63-91777027
43,C13816,SG - Singapore,(65) 99121192
44,C25219,SG - Singapore,9326 1355
45,C39922,SG - Singapore,63007535 / 64607847
46,C14832,SG - Singapore,(+65) 36297414
47,C25249,SG - Singapore,9256 4460
48,C36778,SG - Singapore,6772 4601
49,C17240,SG - Singapore,93648232
50,C49023,SG - Singapore,97104721
51,C06952,SG - Singapore,(65) 68411472
52,C48381,SG - Singapore,9443 322
53,C35823,SG - Singapore,(65) 61115363
54,C49764,SG - Singapore,+65 89533857
55,C10289,SG - Singapore,61518880
56,C19986,SG - Singapore,(+65) 94807561
57,C35926,SG - Singapore,34317460
58,C46580,SG - Singapore,(65) 92175822
59,C31676,SG - Singapore,68399342
60,C22576,SG - Singapore,6266-3258
61,C02218,SG - Singapore,6482-7357
62,C00769,SG - Singapore,(65) 96954862
63,C27435,SG - Singapore,84773638
64,C28724,SG - Singapore,+65 68300135
65,C31213,,(65) 83669875
66,C32739,SG - Singapore,68515495
67,C47218,SG - Singapore,(65) 94129047
68,C02476,,(65) 98927116
69,C37877,SG - Singapore,3509 1496
70,C00642,SG - Singapore,(+65) 96543113
71,C19216,SG - Singapore,(+65) 93108112
72,C02779,SG - Singapore,6155973
73,C43963,SG - Singapore,9557 2756
74,C35153,SG - Singapore,6287-4541
75,C05758,SG - Singapore,39668756
76,C16094,SG - Singapore,6130 8272
77,C27158,SG - Singapore,(+65) 91222221
78,C46378,SG - Singapore,+65 62157386
79,C46756,SG - Singapore,9111-2033
80,C02160,SG - Singapore,96201372
81,C09759,SG - Singapore,(65) 93187956
82,C10117,SG - Singapore,+65 95540896
83,C44116,SG - Singapore,9289 4868
84,C43345,SG - Singapore,0x1DB562C
85,C10995,SG - Singapore,+65 65200674
86,C30519,SG - Singapore,(+65) 65093763
87,C25807,SG - Singapore,38988568
88,C22362,SG - Singapore,+65 89291625
89,C13095,SG - Singapore,+65 96021253
90,C31320,SG - Singapore,69925081
91,C06666,SG - Singapore,(+65) 33454133
92,C21519,SG - Singapore,6981 771
93,C40678,SG - Singapore,+65 39700236
94,C00145,SG - Singapore,(65) 84543599
95,C28996,SG - Singapore,99536888
96,C37722,SG - Singapore,6983987
97,C26697,SG - Singapore,(+65) 31434379
98,C00680,ID - Indonesia,+65 87280047
99,C06543,SG - Singapore,924241793
100,C19763,SG - Singapore,35806989
101,C36666,SG - Singapore,3662 2720
102,C05782,SG - Singapore,955 6610
103,C07753,SG - Singapore,8360387
104,C48386,SG - Singapore,(+65) 92120242
105,C30550,SG - Singapore,(65) 86557891
106,C48942,SG - Singapore,(65) 98080874
